fecha,grano,sector,campaña,compras_semanales,total_comprado_acumulado,precio_hecho,a_fijar,fijado,saldo_a_fijar
06/11/2019,girasol,Industria,19/20,25300,343900,216700,127200,32800,94400
06/11/2019,maíz,Exportador,19/20,209800,12493300,7440100,5053200,458200,4595000
06/11/2019,maíz,Industria,19/20,25400,94900,84500,10400,0,10400
06/11/2019,soja,Exportador,19/20,303300,2874300,2037300,837000,164800,672200
06/11/2019,soja,Industria,19/20,285400,4912900,2535000,2377900,328000,2049900
06/11/2019,trigo,Exportador,19/20,192200,7950900,5413500,2537400,314500,2222900
06/11/2019,trigo,Industria,19/20,40900,303700,247800,55900,15800,40100
13/11/2019,cebada cervecera,Exportador,19/20,9100,131100,129100,2000,0,2000
13/11/2019,cebada cervecera,Industria,19/20,0,169800,92200,77600,4700,72900
13/11/2019,cebada forrajera,Exportador,19/20,10200,100300,88500,11800,1300,10500
13/11/2019,girasol,Exportador,19/20,500,7800,3200,4600,500,4100
13/11/2019,girasol,Industria,19/20,17400,361300,233800,127500,38100,89400
13/11/2019,maíz,Exportador,19/20,513600,13153400,7996000,5157400,500000,4657400
13/11/2019,maíz,Industria,19/20,25400,94900,84500,10400,0,10400
13/11/2019,soja,Exportador,19/20,167200,3041500,2184500,857000,168400,688600
13/11/2019,soja,Industria,19/20,194200,5181600,2680600,2501000,351500,2149500
13/11/2019,trigo,Exportador,19/20,456600,8437900,5846200,2591700,338700,2253000
13/11/2019,trigo,Industria,19/20,85500,389200,322800,66400,20400,46000
20/11/2019,cebada cervecera,Exportador,19/20,13100,144200,142200,2000,0,2000
20/11/2019,cebada cervecera,Industria,19/20,0,169800,92200,77600,4700,72900
20/11/2019,cebada forrajera,Exportador,19/20,31100,131400,119600,11800,1800,10000
20/11/2019,girasol,Exportador,19/20,0,7800,3200,4600,500,4100
20/11/2019,girasol,Industria,19/20,11700,373000,245400,127600,39600,88000
20/11/2019,maíz,Exportador,19/20,427900,13581300,8338200.000000001,5243100,547900,4695200
20/11/2019,maíz,Industria,19/20,25400,94900,84500,10400,0,10400
20/11/2019,soja,Exportador,19/20,231600,3273100,2371300,901800,176100,725700
20/11/2019,soja,Industria,19/20,138300,5319900,2761300,2558600,363500,2195100
20/11/2019,sorgo,Exportador,19/20,3800,16400,15400,1000,0,1000
20/11/2019,trigo,Exportador,19/20,531100,8969000,6330200,2638800,384600,2254200
20/11/2019,trigo,Industria,19/20,107700,496900,384900,112000,37000,75000
27/11/2019,cebada cervecera,Exportador,19/20,8400,152600,150600,2000,0,2000
27/11/2019,cebada cervecera,Industria,19/20,200,169800,92200,77600,4700,72900
27/11/2019,cebada forrajera,Exportador,19/20,78200,251000,236100,14900,2300,12600
27/11/2019,girasol,Exportador,19/20,30300,38100,33500,4600,500,4100
27/11/2019,girasol,Industria,19/20,179000,586400,438700,14700,42000,105700
27/11/2019,maíz,Exportador,19/20,1719100,15352300,9842400,5509900,623500,4886400
27/11/2019,maíz,Industria,19/20,89400,184300,140300,44000,4600,39400
27/11/2019,soja,Exportador,19/20,607400,3880500,2752700,1127800,189100,938700
27/11/2019,soja,Industria,19/20,528400,5848300,3079000,2769300,406900,2362400
27/11/2019,sorgo,Exportador,19/20,3200,19600,18600,1000,0,1000
27/11/2019,sorgo,Industria,19/20,0,1200,1200,0,0,0
27/11/2019,trigo,Exportador,19/20,1423100,10398700,7630000,2768700,469900,2298800
27/11/2019,trigo,Industria,19/20,111200,608100,447800,160300,48200,112100
04/12/2019,cebada cervecera,Exportador,19/20,48700,201300,197300,4000,0,4000
04/12/2019,cebada cervecera,Industria,19/20,200,169800,92200,77600,4700,72900
04/12/2019,cebada forrajera,Exportador,19/20,67400,318400,295800,22600,6100,16500
04/12/2019,girasol,Exportador,19/20,2400,40500,35900,4600,600,4000
04/12/2019,girasol,Industria,19/20,113200,699600,540400,159200,42900,116300
04/12/2019,maíz,Exportador,19/20,1129400,16481700,10770700,5711000,672800,5038200
04/12/2019,maíz,Industria,19/20,89400,184300,140300,44000,4600,39400
04/12/2019,soja,Exportador,19/20,492500,4373000,3162800,1210200,220600,989600
04/12/2019,soja,Industria,19/20,456200,6304500,3373400,2931100,466700,2464400
04/12/2019,sorgo,Exportador,19/20,5200,24800,23800,1000,0,1000
04/12/2019,trigo,Exportador,19/20,1228800,11627500,8770500,2857000,594300,2262700
04/12/2019,trigo,Industria,19/20,161000,769100,548600,220500,65300,155200
11/12/2019,cebada cervecera,Exportador,19/20,50900,252200,223200,29000,0,29000
11/12/2019,cebada cervecera,Industria,19/20,200,169800,92200,77600,4700,72900
11/12/2019,cebada forrajera,Exportador,19/20,99000,417400,391000,26400,7700,18700
11/12/2019,girasol,Exportador,19/20,56900,97400,92800,4600,600,4000
11/12/2019,girasol,Industria,19/20,159400,859000,669000,190000,44600,145400
11/12/2019,maíz,Exportador,19/20,926900,17408600,11510100,5898500,749300,5149200
11/12/2019,maíz,Industria,19/20,89400,184300,140300,44000,4600,39400
11/12/2019,soja,Exportador,19/20,281500,4654500,3438700,1215800,229700,986100
