Date,Darsenas y Bs As,Puertos de Necochea,Puertos-B.Blanca,Rosario y Zona
"sep 19, 2019",81,45,208,48
"sep 20, 2019",70,71,45,146
"sep 21, 2019",0,36,117,85
"sep 23, 2019",63,80,88,66
"sep 24, 2019",64,93,111,116
"sep 25, 2019",22,75,145,106
"sep 26, 2019",78,72,166,170
"sep 27, 2019",115,37,138,160
"sep 28, 2019",10,46,93,68
"sep 30, 2019",59,10,84,85
"oct 1, 2019",59,1,113,100
"oct 2, 2019",60,0,123,81
"oct 3, 2019",70,11,110,66
"oct 4, 2019",53,3,107,66
"oct 5, 2019",4,0,54,26
"oct 7, 2019",44,4,183,36
"oct 8, 2019",47,1,148,42
"oct 9, 2019",60,11,199,48
"oct 10, 2019",57,22,164,33
"oct 11, 2019",41,16,153,38
"oct 12, 2019",0,0,0,4
"oct 14, 2019",39,4,0,13
"oct 15, 2019",49,23,59,51
"oct 16, 2019",68,10,50,42
"oct 17, 2019",34,17,74,74
"oct 18, 2019",118,8,31,44
"oct 19, 2019",12,2,7,39
"oct 21, 2019",89,0,0,31
"oct 22, 2019",103,0,1,46
"oct 23, 2019",67,0,2,87
"oct 24, 2019",90,0,5,127
"oct 25, 2019",111,0,0,182
"oct 26, 2019",7,0,0,259
"oct 28, 2019",69,0,0,223
"oct 29, 2019",87,0,0,343
"oct 30, 2019",89,0,0,279
"oct 31, 2019",78,0,0,257
"nov 1, 2019",44,0,0,332
"nov 2, 2019",7,0,0,144
"nov 4, 2019",62,0,0,147
"nov 5, 2019",48,0,0,197
"nov 6, 2019",94,0,0,310
"nov 7, 2019",100,0,0,150
"nov 8, 2019",70,0,0,287
"nov 9, 2019",26,0,0,313
"nov 11, 2019",106,0,0,505
"nov 12, 2019",50,0,0,980
"nov 13, 2019",32,0,0,925
"nov 14, 2019",71,0,0,997
"nov 15, 2019",45,0,0,957
"nov 16, 2019",23,0,0,1323
"nov 19, 2019",75,0,4,1538
"nov 20, 2019",60,0,7,1687
"nov 21, 2019",189,0,3,1899
"nov 22, 2019",132,0,7,2248
"nov 23, 2019",63,0,0,1352
"nov 25, 2019",277,0,3,2053
"nov 26, 2019",113,0,1,2510
"nov 27, 2019",87,2,3,1606
"nov 28, 2019",173,0,3,1958
"nov 29, 2019",353,1,11,2119
"nov 30, 2019",240,0,3,2541
"dic 2, 2019",502,0,82,2111
"dic 3, 2019",302,5,96,2846
"dic 4, 2019",249,0,60,2633
"dic 5, 2019",318,0,52,2332
"dic 6, 2019",400,0,112,2355
"dic 7, 2019",252,0,37,1781
"dic 8, 2019",240,0,0,2199
"dic 9, 2019",369,2,347,1462
"dic 10, 2019",462,0,293,2171
"dic 11, 2019",432,1,258,2317
"dic 12, 2019",421,9,316,1976
"dic 13, 2019",372,7,225,2292
"dic 14, 2019",395,8,0,1865
"dic 16, 2019",421,27,237,1132
"dic 17, 2019",433,24,268,1715
"dic 18, 2019",222,64,255,1577
"dic 19, 2019",513,98,384,1511
"dic 20, 2019",544,133,473,1816
"dic 21, 2019",210,6,164,808
"dic 23, 2019",390,80,383,595
"dic 24, 2019",124,183,64,372
"dic 26, 2019",226,253,528,452
"dic 27, 2019",202,321,689,1371
"dic 28, 2019",132,0,418,509
"dic 30, 2019",184,143,846,786
"ene 2, 2020",112,43,350,438
"ene 3, 2020",246,164,643,1281
"ene 4, 2020",124,259,0,1163
"ene 6, 2020",273,577,610,1166
"ene 7, 2020",283,233,572,1705
"ene 8, 2020",269,0,686,1930
"ene 9, 2020",279,305,469,1964
"ene 10, 2020",252,252,493,1673
"ene 11, 2020",85,114,202,1366
"ene 13, 2020",213,529,548,774
"ene 14, 2020",300,380,608,1373
"ene 15, 2020",212,304,759,1713
"ene 16, 2020",203,313,747,1291
"ene 17, 2020",198,316,596,1610
"ene 18, 2020",91,0,204,899
"ene 20, 2020",204,231,479,886
"ene 21, 2020",258,374,522,1269
"ene 22, 2020",243,303,467,1188
"ene 23, 2020",282,337,613,1034
"ene 24, 2020",351,420,400,1524
"ene 25, 2020",215,201,100,1007
"ene 27, 2020",234,253,112,756
"ene 28, 2020",276,242,163,1510
"ene 29, 2020",164,249,483,1718
"ene 30, 2020",156,200,424,1338
"ene 31, 2020",152,229,242,1292
"feb 1, 2020",5,0,5,805
"feb 3, 2020",181,143,81,842
"feb 4, 2020",178,0,220,1267
"feb 5, 2020",176,192,239,1384
"feb 6, 2020",155,156,210,950
"feb 7, 2020",172,96,288,1005
"feb 8, 2020",9,18,0,276
"feb 10, 2020",151,95,159,470
"feb 11, 2020",141,110,282,864
"feb 12, 2020",144,116,308,1040
"feb 13, 2020",131,138,316,1199
"feb 14, 2020",131,73,241,1560
"feb 15, 2020",1,0,148,794
"feb 17, 2020",176,58,148,575
"feb 18, 2020",102,47,192,546
"feb 19, 2020",181,65,190,675
"feb 20, 2020",169,104,219,865
"feb 21, 2020",170,92,237,1201
"feb 22, 2020",31,36,121,679
"feb 26, 2020",137,93,158,340
"feb 27, 2020",154,118,204,678
"feb 28, 2020",208,169,262,830
"feb 29, 2020",2,35,152,488
"mar 2, 2020",201,152,137,449
"mar 3, 2020",207,0,151,949
"mar 4, 2020",245,166,156,474
"mar 5, 2020",198,118,228,495
"mar 6, 2020",209,122,183,447
"mar 7, 2020",96,0,76,271
"mar 9, 2020",130,59,19,341
"mar 10, 2020",97,40,17,350
"mar 11, 2020",83,14,17,290
"mar 12, 2020",73,16,23,307
"mar 13, 2020",102,43,127,741
"mar 14, 2020",1,7,124,776
"mar 16, 2020",112,83,235,204
"mar 17, 2020",135,80,317,476
"mar 18, 2020",78,133,234,478
"mar 19, 2020",92,80,190,471
"mar 20, 2020",137,40,311,339
"mar 21, 2020",6,8,9,80
"mar 23, 2020",0,0,0,24
"mar 24, 2020",0,0,0,20
"mar 25, 2020",104,59,35,75
"mar 26, 2020",62,33,40,116
"mar 27, 2020",86,52,36,111
"mar 28, 2020",10,11,0,66
"mar 30, 2020",11,0,25,47
"mar 31, 2020",0,0,0,5
"abr 1, 2020",67,45,20,172
"abr 2, 2020",46,13,39,207
"abr 3, 2020",26,9,83,166
"abr 4, 2020",26,18,0,174
"abr 6, 2020",88,51,96,126
"abr 7, 2020",105,23,234,178
"abr 8, 2020",87,25,249,209
"abr 9, 2020",70,25,315,244
"abr 10, 2020",0,0,0,15
"abr 11, 2020",7,4,67,119
"abr 13, 2020",68,0,140,85
"abr 14, 2020",59,0,90,154
"abr 15, 2020",65,0,151,123
"abr 16, 2020",78,0,140,169
"abr 17, 2020",88,4,162,158
"abr 18, 2020",5,0,156,107
"abr 20, 2020",60,0,93,108
"abr 21, 2020",65,0,107,163
"abr 22, 2020",70,2,110,128
"abr 23, 2020",95,4,110,190
"abr 24, 2020",50,14,155,228
"abr 25, 2020",0,0,10,134
"abr 27, 2020",73,14,70,72
"abr 28, 2020",82,6,29,96
"abr 29, 2020",69,10,42,106
"abr 30, 2020",113,6,29,125
"may 2, 2020",11,0,1,62
"may 4, 2020",89,4,20,67
"may 5, 2020",101,0,45,95
"may 6, 2020",83,11,34,129
"may 7, 2020",101,10,19,134
"may 8, 2020",86,5,68,131
"may 9, 2020",22,8,45,91
"may 11, 2020",65,41,75,78
"may 12, 2020",67,30,114,114
"may 13, 2020",88,15,172,113
"may 14, 2020",107,10,144,112
"may 15, 2020",68,20,162,126
"may 16, 2020",6,2,57,37
"may 18, 2020",65,45,115,112
"may 19, 2020",80,8,122,143
"may 20, 2020",71,21,135,176
"may 21, 2020",96,1,184,140
"may 22, 2020",86,6,172,161
